2023-04-17 19:45:37,317 INFO    StreamThr :14943 [internal.py:wandb_internal():88] W&B internal server running at pid: 14943, started at: 2023-04-17 19:45:37.315092
2023-04-17 19:45:37,319 DEBUG   HandlerThread:14943 [handler.py:handle_request():139] handle_request: status
2023-04-17 19:45:37,321 DEBUG   SenderThread:14943 [sender.py:send_request():317] send_request: status
2023-04-17 19:45:37,323 DEBUG   SenderThread:14943 [sender.py:send():303] send: header
2023-04-17 19:45:37,323 INFO    WriterThread:14943 [datastore.py:open_for_write():75] open: /Users/christoszacharopoulos/projects/dynamic_risk/src/wandb/run-20230417_194531-1uu97u5f/run-1uu97u5f.wandb
2023-04-17 19:45:37,324 DEBUG   SenderThread:14943 [sender.py:send():303] send: run
2023-04-17 19:45:37,808 DEBUG   HandlerThread:14943 [handler.py:handle_request():139] handle_request: check_version
2023-04-17 19:45:37,809 INFO    SenderThread:14943 [dir_watcher.py:__init__():216] watching files in: /Users/christoszacharopoulos/projects/dynamic_risk/src/wandb/run-20230417_194531-1uu97u5f/files
2023-04-17 19:45:37,810 INFO    SenderThread:14943 [sender.py:_start_run_threads():928] run started: 1uu97u5f with start time 1681753536.314633
2023-04-17 19:45:37,810 DEBUG   SenderThread:14943 [sender.py:send():303] send: summary
2023-04-17 19:45:37,811 INFO    SenderThread:14943 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2023-04-17 19:45:37,812 DEBUG   SenderThread:14943 [sender.py:send_request():317] send_request: check_version
2023-04-17 19:45:38,072 DEBUG   HandlerThread:14943 [handler.py:handle_request():139] handle_request: run_start
2023-04-17 19:45:38,073 DEBUG   HandlerThread:14943 [system_info.py:__init__():31] System info init
2023-04-17 19:45:38,074 DEBUG   HandlerThread:14943 [system_info.py:__init__():46] System info init done
2023-04-17 19:45:38,074 INFO    HandlerThread:14943 [system_monitor.py:start():150] Starting system monitor
2023-04-17 19:45:38,074 INFO    SystemMonitor:14943 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-04-17 19:45:38,075 INFO    HandlerThread:14943 [system_monitor.py:probe():168] Collecting system info
2023-04-17 19:45:38,076 INFO    SystemMonitor:14943 [interfaces.py:start():168] Started cpu
2023-04-17 19:45:38,076 DEBUG   HandlerThread:14943 [system_info.py:probe():195] Probing system
2023-04-17 19:45:38,077 INFO    SystemMonitor:14943 [interfaces.py:start():168] Started disk
2023-04-17 19:45:38,082 INFO    SystemMonitor:14943 [interfaces.py:start():168] Started gpuapple
2023-04-17 19:45:38,085 INFO    SystemMonitor:14943 [interfaces.py:start():168] Started memory
2023-04-17 19:45:38,087 INFO    SystemMonitor:14943 [interfaces.py:start():168] Started network
2023-04-17 19:45:38,087 DEBUG   HandlerThread:14943 [system_info.py:_probe_git():180] Probing git
2023-04-17 19:45:38,121 DEBUG   HandlerThread:14943 [system_info.py:_probe_git():188] Probing git done
2023-04-17 19:45:38,122 DEBUG   HandlerThread:14943 [system_info.py:probe():241] Probing system done
2023-04-17 19:45:38,122 DEBUG   HandlerThread:14943 [system_monitor.py:probe():177] {'os': 'macOS-12.6-arm64-arm-64bit', 'python': '3.9.16', 'heartbeatAt': '2023-04-17T17:45:38.077245', 'startedAt': '2023-04-17T17:45:31.265103', 'docker': None, 'cuda': None, 'args': None, 'state': 'running', 'program': '<python with no main file>', 'git': {'remote': 'https://github.com/Christonikos/dynamic_risk.git', 'commit': '764d8a06ce1e62c3378d1d89bcb6e9a7b802923d'}, 'email': 'christonik@gmail.com', 'root': '/Users/christoszacharopoulos/projects/dynamic_risk', 'host': 'Christoss-MacBook-Air-2.local', 'username': 'christoszacharopoulos', 'executable': '/Users/christoszacharopoulos/anaconda3/envs/dynamic_risk/bin/python', 'cpu_count': 8, 'cpu_count_logical': 8, 'disk': {'total': 228.27386474609375, 'used': 189.02872848510742}, 'gpuapple': {'type': 'arm', 'vendor': 'Apple'}, 'memory': {'total': 16.0}}
2023-04-17 19:45:38,123 INFO    HandlerThread:14943 [system_monitor.py:probe():178] Finished collecting system info
2023-04-17 19:45:38,123 INFO    HandlerThread:14943 [system_monitor.py:probe():181] Publishing system info
2023-04-17 19:45:38,123 DEBUG   HandlerThread:14943 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-04-17 19:45:38,124 DEBUG   HandlerThread:14943 [system_info.py:_save_pip():67] Saving pip packages done
2023-04-17 19:45:38,124 DEBUG   HandlerThread:14943 [system_info.py:_save_conda():74] Saving list of conda packages installed into the current environment
